age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,pdays_was_999,job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,y
35,2,999,0,1.1,93.994,-36.4,4.858,5191.0,1,admin.,married,university.degree,unknown,yes,no,telephone,may,wed,nonexistent,0
42,2,999,0,1.1,93.994,-36.4,4.86,5191.0,1,unknown,divorced,high.school,no,no,no,telephone,may,thu,nonexistent,0
45,1,999,0,1.1,93.994,-36.4,4.856,5191.0,1,blue-collar,married,basic.9y,unknown,yes,yes,telephone,may,wed,nonexistent,0
27,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1,admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,0
51,5,999,0,-2.9,92.469,-33.6,0.921,5076.2,1,admin.,married,university.degree,no,yes,no,cellular,jul,fri,nonexistent,1
54,2,999,0,-3.4,92.431,-26.9,0.739,5017.5,1,housemaid,married,professional.course,no,no,no,telephone,oct,mon,nonexistent,0
32,2,999,1,-0.1,93.2,-42.0,4.12,5195.8,1,entrepreneur,married,university.degree,no,no,yes,cellular,nov,wed,failure,0
27,3,999,0,1.4,93.918,-42.7,4.962,5228.1,1,services,single,high.school,no,no,no,cellular,jul,mon,nonexistent,1
35,2,999,0,1.4,94.465,-41.8,4.967,5228.1,1,technician,married,professional.course,unknown,yes,no,telephone,jun,fri,nonexistent,0
24,4,999,0,1.4,94.465,-41.8,4.962,5228.1,1,entrepreneur,married,university.degree,no,yes,yes,telephone,jun,wed,nonexistent,0
55,3,999,0,1.4,93.918,-42.7,4.962,5228.1,1,admin.,married,high.school,no,yes,no,cellular,jul,mon,nonexistent,0
72,1,3,2,-3.4,92.379,-29.8,0.803,5017.5,0,retired,married,basic.4y,no,no,no,cellular,sep,fri,success,1
45,2,999,0,1.4,93.918,-42.7,4.962,5228.1,1,admin.,divorced,high.school,no,yes,no,cellular,jul,fri,nonexistent,0
43,4,999,0,1.4,93.444,-36.1,4.963,5228.1,1,technician,married,university.degree,no,yes,no,cellular,aug,mon,nonexistent,0
52,2,999,0,1.4,93.918,-42.7,4.961,5228.1,1,retired,divorced,professional.course,no,no,no,cellular,jul,tue,nonexistent,0
33,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,1,services,divorced,high.school,no,no,yes,cellular,nov,thu,nonexistent,0
31,3,999,0,-1.8,92.893,-46.2,1.354,5099.1,1,services,married,high.school,unknown,no,no,telephone,may,mon,nonexistent,0
66,1,999,0,-2.9,92.201,-31.4,0.843,5076.2,1,retired,married,university.degree,no,no,yes,cellular,aug,mon,nonexistent,0
37,1,999,0,1.1,93.994,-36.4,4.858,5191.0,1,blue-collar,single,unknown,unknown,no,no,telephone,may,wed,nonexistent,0
31,2,999,0,1.4,93.444,-36.1,4.963,5228.1,1,admin.,divorced,university.degree,no,no,no,cellular,aug,tue,nonexistent,0
55,1,999,0,1.4,93.444,-36.1,4.963,5228.1,1,admin.,married,basic.9y,unknown,yes,no,cellular,aug,fri,nonexistent,0
37,1,999,1,-1.8,93.075,-47.1,1.405,5099.1,1,admin.,married,high.school,no,yes,yes,cellular,apr,fri,failure,0
55,3,999,0,1.4,93.444,-36.1,4.964,5228.1,1,blue-collar,married,professional.course,no,yes,no,cellular,aug,wed,nonexistent,0
34,2,999,0,-1.8,92.893,-46.2,1.244,5099.1,1,admin.,married,university.degree,no,yes,no,cellular,may,mon,nonexistent,0
32,1,999,0,-1.1,94.601,-49.5,0.959,4963.6,1,technician,married,professional.course,no,no,no,cellular,oct,wed,nonexistent,1
38,2,999,0,1.4,93.918,-42.7,4.96,5228.1,1,technician,married,professional.course,no,yes,no,cellular,jul,mon,nonexistent,0
41,3,999,0,1.4,93.444,-36.1,4.963,5228.1,1,technician,married,professional.course,no,yes,yes,cellular,aug,mon,nonexistent,0
35,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,services,divorced,high.school,no,yes,no,telephone,may,mon,nonexistent,0
37,1,999,0,1.1,93.994,-36.4,4.856,5191.0,1,services,married,high.school,unknown,no,yes,telephone,may,tue,nonexistent,0
33,4,999,0,1.4,93.444,-36.1,4.966,5228.1,1,technician,married,professional.course,no,no,no,cellular,aug,tue,nonexistent,0
36,3,999,0,1.4,93.444,-36.1,4.962,5228.1,1,admin.,single,university.degree,no,yes,no,cellular,aug,thu,nonexistent,0
40,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,services,married,high.school,unknown,yes,no,cellular,apr,mon,nonexistent,0
27,2,999,0,-1.8,93.075,-47.1,1.365,5099.1,1,admin.,single,high.school,no,yes,no,cellular,apr,thu,nonexistent,0
55,4,999,0,1.4,94.465,-41.8,4.864,5228.1,1,retired,divorced,professional.course,no,yes,no,telephone,jun,wed,nonexistent,0
38,3,999,0,-1.8,93.075,-47.1,1.498,5099.1,1,admin.,divorced,university.degree,no,yes,no,cellular,apr,wed,nonexistent,0
33,1,999,0,-1.8,92.893,-46.2,1.244,5099.1,1,blue-collar,single,high.school,no,no,no,cellular,may,mon,nonexistent,0
48,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,1,services,divorced,high.school,no,yes,no,cellular,apr,mon,nonexistent,0
40,2,999,0,-0.1,93.2,-42.0,4.12,5195.8,1,admin.,single,university.degree,no,no,no,cellular,nov,wed,nonexistent,0
36,1,999,0,1.4,93.918,-42.7,4.961,5228.1,1,admin.,single,high.school,no,no,no,cellular,jul,tue,nonexistent,0
41,2,999,0,-0.1,93.2,-42.0,4.021,5195.8,1,admin.,single,university.degree,no,yes,yes,cellular,nov,fri,nonexistent,0
48,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,admin.,married,university.degree,no,no,no,telephone,may,mon,nonexistent,0
24,1,999,0,-2.9,92.963,-40.8,1.266,5076.2,1,student,single,university.degree,no,no,no,cellular,jun,mon,nonexistent,0
49,1,999,0,1.4,94.465,-41.8,4.866,5228.1,1,admin.,divorced,university.degree,no,no,no,telephone,jun,thu,nonexistent,0
28,9,999,0,1.4,93.918,-42.7,4.962,5228.1,1,blue-collar,single,basic.9y,no,no,no,cellular,jul,fri,nonexistent,1
32,4,999,0,1.4,93.918,-42.7,4.968,5228.1,1,admin.,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
30,1,999,0,1.4,93.918,-42.7,4.962,5228.1,1,technician,single,university.degree,no,no,no,telephone,jul,wed,nonexistent,0
44,11,999,0,1.4,93.918,-42.7,4.962,5228.1,1,technician,divorced,professional.course,no,yes,yes,telephone,jul,mon,nonexistent,0
38,1,999,0,1.1,93.994,-36.4,4.86,5191.0,1,technician,divorced,professional.course,no,yes,no,telephone,may,thu,nonexistent,1
33,1,999,0,-1.8,92.893,-46.2,1.313,5099.1,1,blue-collar,single,basic.6y,no,unknown,unknown,cellular,may,fri,nonexistent,0
29,4,999,0,1.4,93.444,-36.1,4.968,5228.1,1,technician,single,high.school,no,no,no,cellular,aug,thu,nonexistent,0
31,2,999,0,-1.1,94.767,-50.8,1.044,4963.6,1,admin.,single,high.school,no,yes,no,cellular,nov,wed,nonexistent,1
44,2,999,0,-0.1,93.2,-42.0,4.021,5195.8,1,self-employed,divorced,professional.course,no,yes,no,cellular,nov,fri,nonexistent,0
28,3,999,0,1.1,93.994,-36.4,4.856,5191.0,1,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,nonexistent,0
31,4,999,0,1.4,94.465,-41.8,4.959,5228.1,1,housemaid,married,basic.4y,unknown,yes,no,telephone,jun,wed,nonexistent,0
29,1,999,0,1.4,93.444,-36.1,4.968,5228.1,1,admin.,single,university.degree,no,yes,no,cellular,aug,tue,nonexistent,0
37,3,999,0,1.4,93.918,-42.7,4.96,5228.1,1,admin.,single,high.school,no,no,no,cellular,jul,mon,nonexistent,0
67,1,999,1,-1.1,94.601,-49.5,1.008,4963.6,1,retired,divorced,basic.4y,no,yes,no,cellular,oct,tue,failure,0
57,4,999,0,-1.8,92.893,-46.2,1.291,5099.1,1,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,tue,nonexistent,0
32,3,3,1,-1.8,92.893,-46.2,1.354,5099.1,0,self-employed,married,basic.6y,no,yes,no,cellular,may,mon,success,0
52,2,999,0,1.4,93.444,-36.1,4.965,5228.1,1,services,married,high.school,unknown,yes,yes,cellular,aug,mon,nonexistent,0
32,1,999,0,1.4,93.918,-42.7,4.963,5228.1,1,admin.,married,university.degree,no,no,no,telephone,jul,thu,nonexistent,0
61,1,999,0,-2.9,92.201,-31.4,0.884,5076.2,1,self-employed,divorced,high.school,no,no,no,cellular,aug,tue,nonexistent,0
39,1,999,0,1.1,93.994,-36.4,4.855,5191.0,1,unemployed,single,basic.9y,unknown,yes,no,telephone,may,fri,nonexistent,0
37,1,999,0,1.1,93.994,-36.4,4.857,5191.0,1,technician,single,professional.course,no,yes,no,telephone,may,fri,nonexistent,0
44,1,999,0,-0.1,93.2,-42.0,4.191,5195.8,1,management,married,high.school,no,yes,no,cellular,nov,mon,nonexistent,0
48,1,999,0,1.1,93.994,-36.4,4.856,5191.0,1,blue-collar,married,high.school,no,no,no,telephone,may,wed,nonexistent,0
44,1,999,0,1.1,93.994,-36.4,4.86,5191.0,1,blue-collar,single,basic.4y,no,yes,no,telephone,may,thu,nonexistent,0
35,2,999,0,1.1,93.994,-36.4,4.864,5191.0,1,blue-collar,married,basic.6y,no,yes,no,telephone,may,fri,nonexistent,0
54,1,999,1,-1.8,92.893,-46.2,1.334,5099.1,1,technician,divorced,university.degree,no,yes,no,cellular,may,wed,failure,0
41,3,999,0,1.4,93.918,-42.7,4.963,5228.1,1,management,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,0
29,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,1,admin.,married,basic.9y,no,no,no,cellular,nov,thu,nonexistent,0
54,3,999,0,1.4,93.444,-36.1,4.964,5228.1,1,blue-collar,married,basic.4y,unknown,no,yes,cellular,aug,thu,nonexistent,0
33,1,999,1,-1.8,92.893,-46.2,1.266,5099.1,1,admin.,married,university.degree,no,yes,no,cellular,may,tue,failure,1
34,2,999,0,1.4,93.918,-42.7,4.963,5228.1,1,services,single,high.school,unknown,no,no,cellular,jul,fri,nonexistent,0
33,2,999,0,1.4,93.918,-42.7,4.962,5228.1,1,services,married,high.school,no,yes,no,cellular,jul,tue,nonexistent,0
34,2,999,1,-1.8,93.369,-34.8,0.654,5008.7,1,admin.,married,professional.course,no,no,yes,telephone,mar,thu,failure,0
32,1,999,0,1.4,93.444,-36.1,4.964,5228.1,1,admin.,single,university.degree,no,no,no,cellular,aug,wed,nonexistent,0
32,1,999,1,-1.8,92.893,-46.2,1.327,5099.1,1,admin.,married,high.school,no,no,yes,cellular,may,thu,failure,0
31,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1,admin.,single,high.school,no,yes,no,telephone,may,mon,nonexistent,0
30,2,999,0,1.1,93.994,-36.4,4.855,5191.0,1,blue-collar,married,basic.9y,no,yes,yes,telephone,may,thu,nonexistent,0
48,4,999,0,1.4,94.465,-41.8,4.865,5228.1,1,blue-collar,married,basic.4y,no,no,no,telephone,jun,mon,nonexistent,0
33,6,999,0,1.4,93.444,-36.1,4.965,5228.1,1,technician,married,professional.course,no,yes,no,cellular,aug,tue,nonexistent,0
24,2,999,0,1.4,93.918,-42.7,4.958,5228.1,1,blue-collar,single,basic.9y,no,no,no,cellular,jul,thu,nonexistent,0
38,1,999,0,-0.1,93.2,-42.0,4.12,5195.8,1,blue-collar,divorced,high.school,no,yes,yes,cellular,nov,wed,nonexistent,0
42,1,999,0,1.4,94.465,-41.8,4.961,5228.1,1,technician,single,high.school,no,no,no,telephone,jun,thu,nonexistent,0
50,3,999,0,1.4,94.465,-41.8,4.959,5228.1,1,services,divorced,unknown,no,no,no,telephone,jun,fri,nonexistent,0
57,2,999,0,1.4,93.444,-36.1,4.965,5228.1,1,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,nonexistent,0
54,2,999,0,1.4,93.444,-36.1,4.964,5228.1,1,management,married,university.degree,no,no,no,cellular,aug,wed,nonexistent,0
37,3,999,0,1.4,93.918,-42.7,4.962,5228.1,1,admin.,married,high.school,unknown,yes,no,cellular,jul,mon,nonexistent,0
37,3,999,0,-1.7,94.055,-39.8,0.739,4991.6,1,admin.,married,high.school,no,no,no,cellular,jun,wed,nonexistent,1
36,2,999,1,-1.8,93.075,-47.1,1.405,5099.1,1,entrepreneur,married,basic.9y,no,yes,no,cellular,apr,fri,failure,0
